Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Fancalen (lentiviral vector containing the Fanconi anemia-A (FANCA) gene,,5/2/16,Treatment of Fanconi anemia type A patients.,Designated,Not FDA Approved for Orphan Indication,,,,,"Rocket Pharmaceuticals, Inc.",The Empire State Building,"350 Fifth Avenue, Suite 7530",New York,New York,10118,United States,519316
farletuzumab,,6/16/06,Treatment of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,204905
fast skeletal muscle troponin activator,,5/11/17,Treatment of spinal muscular atrophy,Designated,Not FDA Approved for Orphan Indication,,,,,"Cytokinetics, Inc.",280 East Grand Avenue,,South San Francisco,California,94080,United States,516215
fasudil,,9/5/19,Treatment of subarachnoid hemorrhage,Designated,Not FDA Approved for Orphan Indication,,,,,"Aneuryst, Inc.",211 East 43rd Street,Suite 710,New York,New York,10017-8601,United States,700019
Fasudil,,9/9/20,Treatment of Frontotemporal Dementia,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.Woolsey Pharmaceuticals, Inc.",233 Broadway,Suite 1750,New York,New York,10279,United States,761320
Fasudil,,12/21/20,Treatment of progressive supranuclear palsy,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.","233 Broadway, Suite 1750",,New York,New York,10279,United States,787220
Fasudil,,1/15/20,Treatment of Amyotrophic Lateral Sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.",233 Broadway,Suite 1750,New York,New York,10279,United States,719119
fasudil HCL,,8/25/20,Treatment of Huntingtons Disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.",233 Broadway,Suite 1750,New York,New York,10279,United States,715919
Fasudil hydrochloride,,1/7/21,Treatment of Corticobasal Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.",233 Broadway,Suite 1750,New York,New York,10279,United States,792720
Fasudil hydrochloride,,9/21/21,Treatment of 16p11.2 Deletion Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Woolsey Pharmaceuticals, Inc.",233 Broadway,Suite 1750,New York,New York,10279,United States,815421
Fc fusion protein of a human inducible T cell costimulator ligand variant immunoglobulin domain designed to inhibit simultaneously the CD28 and ICOS inflammation pathways,,3/16/20,Prevention of acute graft versus host disease,Designated,Not FDA Approved for Orphan Indication,,,,,Alpine Immune Sciences,201 Elliott Ave. West,Suite 230,Seattle,Washington,98119,United States,738919
Fc fusion protein of a human inducible T cell costimulator ligand variant immunoglobulin domain designed to inhibit simultaneously the CD28 and ICOS inflammation pathways,,3/16/20,Treatment of Acute Graft versus Host Disease,Designated,Not FDA Approved for Orphan Indication,,,,,Alpine Immune Sciences,201 Elliott Ave. West,Suite 230,Seattle,Washington,98119,United States,712619
FC-fusion bispecific antibody targeting extracellular domains II and IV of HER 2 and FC-fusion bispecific IgG1 antibody inhibiting PD-L1 and CTLA-4,,12/21/20,"Treatment of Gastric Cancer, including Cancer of the Gastroesophageal Junction",Designated,Not FDA Approved for Orphan Indication,,,,,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd.","Bldg. C23, 218 Xinghu Street",SIP,SuZhou,,,China,786920
fecal microbiota,,3/10/14,Prevention of recurrent Clostridium difficile infection (CDI) in individuals with recurrent Clostridium difficile infection,Designated,Not FDA Approved for Orphan Indication,,,,,"Rebiotix, Inc.",2660 Patton Road,,Roseville,Minnesota,55113,United States,421013
Fedratinib,,3/21/13,Treatment of polycythemia vera,Designated,Not FDA Approved for Orphan Indication,,,,,Impact Biomedicines,12526 High Bluff Drive,Suite 260,San Diego,California,92130,United States,390913
Fedratinib,INREBIC,5/18/09,Treatment of secondary and primary myelofibrosis,Designated/Approved,,INREBIC is indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis (MF)., 08/16/2019 , 08/16/2026 ,For the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis (MF).,"Impact Biomedicines, Inc. a wholly-owned subsidiary of Celgene Corporation",86 Morris Avenue,,Summit,New Jersey,7901,United States,279409
Felbamate,Felbatol,1/24/89,Treatment of Lennox-Gastaut syndrome.,Designated/Approved,,As adjunctive therapy in the treatment of partial and generalized seizures associated with the Lennox-Gastaut syndrome in children., 07/29/1993 , 07/29/2000 ,,Wallace Laboratories,301B College Road East,,Princeton,New Jersey,8540,United States,33488
fenfluramine,,6/19/17,Treatment of Lennox-Gastaut syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Zogenix Inc.,5858 Horton Street,Suite 455,Emeryville,California,94608,United States,584217
fenfluramine HCI,Fintepla,12/20/13,For the Treatment of Dravet Syndrome,Designated/Approved,,Fintepla (fenfluramine) is indicated for the treatment of seizures associated with Dravet syndrome in patients 2 years of age and older., 06/25/2020 , 06/25/2027 ,For the treatment of seizures associated with Dravet syndrome in patients 2 years of age and older.,"Zogenix, Inc.",5959 Horton Street,Suite 500,Emeryville,California,94608,United States,414613
Fenobam hydrochloride,,11/20/06,Treatment of fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Neuropharm, Ltd.",87 Church Street,,"Crowthorne, Berkshire",,,United Kingdom,232406
Fenretinide,,10/5/05,Treatment of neuroblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,USC-CHLA Institute for Pediatric Clinical Research,Children's Hospital Los Angeles,MS 55,Los Angeles,California,90027,United States,209805
fenretinide,,9/4/13,Treatment of cutaneous T-cell lymphoma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"CerRx, Inc.",Reese Technology Center,"9801 Reese Blvd, Suite 104",Lubbock,Texas,79416,United States,409913
fenretinide,,12/19/17,Treatment of cutaneous T-cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"SciTech Development, LLC",281 Kercheval Avenue,,Grosse Pointe Farms,Michigan,48236,United States,615217
fenretinide,,12/22/17,Treatment of peripheral T-cell lymphoma (including follicular T-cell lymphoma),Designated,Not FDA Approved for Orphan Indication,,,,,"SciTech Development, LLC",281 Kercheval Avenue,,Grosse Pointe Farms,Michigan,48236,United States,621117
Fenretinide,,4/7/10,Treatment of Pseudomonas aeruginosa lung infections in cystic fibrosis patients,Designated,Not FDA Approved for Orphan Indication,,,,,McGill University,McGill University,,Montreal,,,Canada,303210
fenretinide,,2/1/07,Treatment of Ewing's sarcoma family of tumors.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Cancer Research UK,61 Lincoln's Inn Fields,WC2A 3PX,London,,,United Kingdom,236106
fenretinide,,9/4/13,Treatment of peripheral T-cell lymphoma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"CerRx, Inc.",Reese Technology Center,"9801 Reese Blvd, Suite 104",Lubbock,Texas,79416,United States,404013
"ferric hexacyanoferrate (II) ""Prussian Blue""",,6/26/03,Treatment of patients with known or suspected internal contamination with radioactive or non-radioactive cesium or thallium,Designated,Not FDA Approved for Orphan Indication,,,,,Degussa AG,Weissfrauenstr 9,,Frankfurt,,,Germany,173403
ferroportin inhibitor,,1/25/21,Treatment of sickle cell disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Vifor Pharma, Inc.",200 Cardinal Way,,Redwood City,California,94063,United States,796320
ferumoxytol,,4/29/11,For use in MR imaging for the mangement of brain tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"Edward A. Neuwelt, MD",3181 SW Sam Jackson Park Road,,Portland,Oregon,97239,United States,338411
ferumoxytol,,10/7/11,For use in magnetic resonance imaging in brain metastases,Designated,Not FDA Approved for Orphan Indication,,,,,Oregon Health & Science University,3181 SW Sam Jackson Pk Road,Mailcode L603,Portland,Oregon,97239,United States,350111
ferumoxytol,,4/6/12,"For use in magnetic resonance imaging to assess, and monitor treatment of solid tumor malignancies previously diagnosed in pediatric patients (age 16 years and younger)",Designated,Not FDA Approved for Orphan Indication,,,,,"ArsNova Partners, LLC",38 Frederick Street,,Newton,Massachusetts,2460,United States,365212
fexinidazole,,4/4/16,Treatment of human African trypanosomiasis (HAT) or sleeping sickness,Designated/Approved,,"Treatment of both the first-stage (hemolymphatic) and second-stage (meningoencephalitic) human African trypanosomiasis (HAT) due to Trypanosoma brucei gambiense in patients 6 years of age and older and weighing at least 20 kg. Limitations of use: Due to the decreased efficacy observed in patients with severe second stage HAT (cerebrospinal fluid white blood cell count (CSF-WBC) >100 cells/?L) due to T. brucei gambiense disease, Fexinidazole Tablets should only be used in these patients if there", 07/16/2021 , 07/16/2028 ,"Treatment of both the first-stage (hemolymphatic) and second-stage (meningoencephalitic) human African trypanosomiasis (HAT) due to Trypanosoma brucei gambiense in patients 6 years of age and older and weighing at least 20 kg. Limitations of use: Due to the decreased efficacy observed in patients with severe second stage HAT (cerebrospinal fluid white blood cell count (CSF-WBC) >100 cells/?L) due to T. brucei gambiense disease, Fexinidazole Tablets should only be used in these patients if there","Sanofi US Services Inc., A SANOFI COMPANY",55 Corporate Drive,,Bridgewater,New Jersey,08807-5925,United States,513915
fialuridine,,7/24/92,Adjunctive treatment of chronic active hepatitis B.,Designated,Not FDA Approved for Orphan Indication,,,,,"Oclassen Pharmaceuticals, Inc.",100 Pelican Way,,San Rafael,California,94901,United States,67892
Fibrin-based agent containing a N-terminally modified parathyroid hormone fragment TGplPTH1-34,,2/1/07,Treatment of solitary (unicameral) bone cysts,Designated,Not FDA Approved for Orphan Indication,,,,,Kuros Biosurgery AG,Technoparkstrasse 1,,Zurich,,,Switzerland,217905
Fibrinogen (human),,8/23/95,For the control of bleeding and prophylactic treatment of patients deficient in fibrinogen.,Designated,Not FDA Approved for Orphan Indication,,,,,Alpha Therapeutic Corporation,5555 Valley Boulevard,,Los Angeles,California,90032,United States,88595
fibrinogen-depleted human platelet lysate,,2/24/20,Treatment of ocular graft-versus-host disease,Designated,Not FDA Approved for Orphan Indication,,,,,Cambium Medical Technologies LLC,1055 Brookhaven Walk Northeast,,Atlanta,Georgia,30319,United States,620817
Fibromun,,12/18/18,Treatment of Soft Tissue Sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,Philogen S.p.A.,La Lizza 7,I-53100 Siena,Siena,Tuscany,,Italy,662918
Fibromun / Onfekafusp alfa,,10/7/20,treatment of malignant glioma,Designated,Not FDA Approved for Orphan Indication,,,,,Philogen S.p.A.,Localitࠂellaria 35,,Sovicille,,I-53018,Italy,771020
Fibronectin (human plasma derived),,9/5/88,Treatment of non-healing corneal ulcers or epithelial defects which have been unresponsive to conventional therapy and the underlying cause has been eliminated.,Designated,Not FDA Approved for Orphan Indication,,,,,"Melville Biologics, Inc.",310 East 67th Street,,New York,New York,10021,United States,24987
Fibronectin (plasma derived),,12/5/88,Treatment of non-healing corneal ulcers or epithelial defects which are unresponsive to conventional therapy and for which any infectious cause of the defect has been eliminated.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Chiron Vision,9342 Jeronimo Road,,Irvine,California,92718,United States,24287
Fibronectin Peptide,,6/29/11,"Prevention of burn injury progression of acute, deep dermal burns in hospitalized patients.",Designated,Not FDA Approved for Orphan Indication,,,,,"NeoMatrix Therapeutics, Inc.",Long Island High Tech Incubator,25 Health Sciences Drive,Stony Brook,New York,11790,United States,311510
fidaxomicin,Dificid,12/13/10,Treatment of pediatric Clostridium difficile infection,Designated/Approved,,DIFICID is indicated in adult and pediatric patients aged 6 months and older for the treatment of C. difficile-associated diarrhea (CDAD)., 01/24/2020 , 01/24/2027 ,Dificid (fidaxomicin) is indicated for pediatric patients aged 6 months and older for the treatment of C. difficile-associated diarrhea (CDAD).,"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc.",20 Weystrasse,,Luzern,Luzern,,Switzerland,325210
filanesib,,5/6/14,Treatment of multiple myeloma.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Array BioPharma, Inc.",3200 Walnut Street,,Boulder,Colorado,80301,United States,431114
filgotinib maleate,,7/18/17,Treatment of pediatric Crohn's disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Gilead Sciences, Inc.",199 East Blaine Street,,Seattle,Washington,98102,United States,588017
filgotinib maleate,,10/5/17,Treatment of pediatric ulcerative colitis (UC),Designated,Not FDA Approved for Orphan Indication,,,,,"Gilead Sciences, Inc.",199 East Blaine Street,,Seattle,Washington,98102,United States,604517
filgrastim,Neupogen,11/20/13,Treatment of subjects at risk of developing myelosuppression after a radiological or nuclear incident,Designated/Approved,,To increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Syndrome of Acute Radiation Syndrome)., 03/30/2015 , 03/30/2022 ,To increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Syndrome of Acute Radiation Syndrome).,"Amgen, Inc.",One Amgen Center Drive,M/S 17-1-C,Thousand Oaks,California,91320,United States,413113
Filgrastim,,9/3/91,"Treatment of patients with AIDS who, in addition, are afflicted with cytomegalovirus retinitis and are being treated with ganciclovir",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,91320,United States,49990
Filgrastim,Neupogen,7/17/95,For use in the mobilization of peripheral blood progenitor cells for collection in patients who will receive myeloablative or myelosuppressive chemotherapy.,Designated/Approved,,For use in the mobilization of hematopoietic progenitor cells into the peripheral blood collection by leukapheresis., 12/28/1995 , 12/28/2002 ,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,91320,United States,89395
Filgrastim,Neupogen,11/7/96,"Reduction in the duration of neutropenia, fever, antibiotic use, and hospitalization, following induction and consolidation treatment for acute myeloid leukemia.",Designated/Approved,,"Reducing the time to neutrophil recovery and the duration of fever, following induction or consolidation chemotherapy treatment of adults with acute myeloid leukemia.", 04/02/1998 , 04/02/2005 ,,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,91320,United States,101096
filgrastim,,1/27/15,Treatment of amyotrophic lateral sclerosis (ALS),Designated,Not FDA Approved for Orphan Indication,,,,,Neurovision Pharma GmbH,Emil-Geis Str. 4,,Grunwald,,,Germany,461814
Filgrastim,,8/30/90,Treatment of myelodysplastic syndrome,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,91320,United States,49090
Filgrastim,Neupogen,10/1/90,Treatment of neutropenia associated with bone marrow transplants.,Designated/Approved,,Reduce the duration of neutropenia and neutropenia sequelae in patients with non-myeloid malignancies undergoing ablative chemotherapy followed by BMT., 06/15/1994 , 06/15/2001 ,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,91320,United States,50090
Filgrastim,Neupogen,11/7/90,Treatment of patients with severe chronic neutropenia (absolute neutrophil count less than 500/mm3).,Designated/Approved,,Treatment of patients with severe chronic neutropenia., 12/19/1994 , 12/19/2001 ,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,91320,United States,49390
filociclovir,,11/29/10,Treatment of active cytomegalovirus infections,Designated,Not FDA Approved for Orphan Indication,,,,,"Microbiotix, Inc.",One Innovation Drive,,Worcester,Massachusetts,1605,United States,319010
fimaporfin,,9/27/17,Treatment of cholangiocarcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,PCI Biotech AS,64 Ullernchausseen,,Ullern,Oslo,,Norway,574217
fingolimod,,4/30/10,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceutical Corporation,One Health Plaza,,East Hanover,New Jersey,7936,United States,305910
firolimogene autotemcel,,8/31/20,treatment X-linked severe combined immunodeficiency.,Designated,Not FDA Approved for Orphan Indication,,,,,"Mustang Bio, Inc.",377 Plantation Street,,Worcester,Massachusetts,1605,United States,759720
firtecan pegol,,4/18/11,Treatment of neuroblastoma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Enzon Pharmaceuticals, Inc.",20 Kingsbridge Road,,Piscataway,New Jersey,8854,United States,338311
fish oil triglycerides,Omegaven,2/27/08,Treatment of parenteral nutrition-associated liver disease,Designated/Approved,,Omegaven is indicated as a source of calories and fatty acids in pediatric patients with parenteral nutrition-associated cholestasis (PNAC), 07/27/2018 , 07/27/2025 ,Omegaven is indicated as a source of calories and fatty acids in pediatric patients with parenteral nutrition-associated cholestasis (PNAC),"Fresenius Kabi USA, LLC",3 Corporate Drive,,Lake Zurich,Illinois,60047,United States,251507
fixed combination of dimethyl fumarate and aspirin (162mg),,9/27/18,Treatment of multiple sclerosis in patients who experience dimethyl fumarate flushing,Designated,Not FDA Approved for Orphan Indication,,,,,"Vitalis, LLC",93 4th Avenue,#19,New York,New York,10003,United States,607917
fixed combination of diroximel fumarate and aspirin,,4/6/20,Treatment of patients with multiple sclerosis who experience the fumarate flush,Designated,Not FDA Approved for Orphan Indication,,,,,"Vitalis, LLC",93 4th Avenue,#19,New York,New York,10003,United States,724719
Fixed combination of monomethyl fumarate and aspirin,,4/6/20,Treatment of patients with multiple sclerosis who experience the fumarate flush,Designated,Not FDA Approved for Orphan Indication,,,,,"Vitalis, LLC",93 4th Avenue,#19,New York,New York,10003,United States,724619
fixed dose combination of methimazole and liothyronine,,3/6/17,Treatment of brain metastases in patients with primary lung cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Musli Thyropeutics Ltd.,6 Hagefen Street,P. O. Box 529,Zur Moshe,,,Israel,539116
fixed dose combination of modafinil and flecainide,,9/19/16,Treatment of narcolepsy,Designated,Not FDA Approved for Orphan Indication,,,,,Theranexus S.A,86 Rue de Paris,,Orsay,άe-de-France,,France,536716
fixed dose combination of Pyronaridine and Benznidazole,,5/11/20,Treatment of Chagas Disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Collaborations Pharmaceuticals, Inc.",840 Main Campus Drive,Lab 3510,Raleigh,North Carolina,27606,United States,719219
fixed dose combination of pyronaridine tetraphosphate and artesunate,,9/27/18,Treatment of malaria,Designated,Not FDA Approved for Orphan Indication,,,,,"Shin Poong Pharmaceutical Co., Ltd.","161 Yoksam-Ro, Gangnam-Gu",,Seoul,Seoul,,South Korea,651218
Fixed dose combination of relatlimab and nivolumab,,6/18/18,Treatment of gastric cancer (GC) and gastro-esophageal junction cancer (GEJ).,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.,P. O. Box 4000,,Princeton,New Jersey,8543,United States,641718
"fixed set of four ribonucleic acid lipoplex (RNA-LPX) drug products (RBL001.3, RBL002.4, RBL003.3, RBL004.3) which code for four melanoma tumor-associated antigens",,9/15/21,Treatment of stage IIB through IV melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,BioNTech SE,An der Goldgrube 12,,,Mainz,55131,Germany,837221
fixed-dose combination of celecoxib and ciprofloxacin.,,1/8/20,Treatment of amyotrophic lateral sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,NeuroSense Therapeutics,85 Medinat Ha-Yehudim,,Herzliya,,,Israel,718519
florbetaben F18,,4/7/20,Diagnostic for the management of amyloid light chain (AL) amyloidosis,Designated,Not FDA Approved for Orphan Indication,,,,,Life Molecular Imaging Ltd.,"Iceni Centre, Warwick Technology Park",,Warwick,,CV34 6DA,United Kingdom,732420
florilglutamic acid,,5/11/16,Diagnostic for the management of glioma,Designated,Not FDA Approved for Orphan Indication,,,,,Life Molecular Imaging Ltd.,"Iceni Centre, Warwick Technology Park",,Warwick,,CV34 6DA,United Kingdom,517616
flotetuzumab,,12/22/16,Treatment of acute myeloid leukemia (AML),Designated,Not FDA Approved for Orphan Indication,,,,,"MacroGenics, Inc.",9704 Medical Center Drive,,Rockville,Maryland,20850,United States,563516
"Floxuridine, FUDR",,12/22/04,Intraperitoneal treatment of gastric cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"Franco Muggia, M.D.",160 East 34th Street,,New York,New York,10016,United States,195104
fluasterone,,3/28/18,"Treatment of Cushing syndrome (including hyperglycemia, nonalcoholic fatty liver disease, and nonalcoholic steatosis)",Designated,Not FDA Approved for Orphan Indication,,,,,"Sterotherapeutics, LLC",3805 Old Easton Road,,Doylestown,Pennsylvania,18902,United States,527116
flubendazole,,1/23/14,"Treatment of lymphatic filariasis caused by nematodes of the family Filariodidea, in children and adults.",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,399813
flubendazole,,10/25/13,Treatment of onchocerciasis caused by Onchocerca volvulus,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,396713
flubrobenguane (18F),,6/4/19,Diagnostic for the management of neuroendocrine tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"Lantheus Medical Imaging, Inc.",331 Treble Cove Road,,North Billerica,Massachusetts,1862,United States,695819
"fluciclovine (18F)(anti-1-amino-3-fluorocyclobutane-1-carboxylic acid, labelled with Fluorine-18)",,4/7/15,For the diagnosis of glioma,Designated,Not FDA Approved for Orphan Indication,,,,,Blue Earth Diagnostics Ltd.,215 Euston Rd.,NW1 2BE,London,,,United Kingdom,465814
Fludarabine phosphate,,4/18/89,Treatment and management of patients with non-Hodgkins lymphoma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Berlex Laboratories, Inc.",15049 San Pablo Avenue,P.O. Box 4099,Richmond,California,94804,United States,35889
Fludarabine phosphate,Fludara,4/18/89,"Treatment of chronic lymphocytic leukemia (CLL), including refractory CLL.",Designated/Approved,,, 04/18/1991 , 04/18/1998 ,,"Berlex Laboratories, Inc.","15049 San Pablo Avenue, P.O. Box 4099",,Richmond,California,94804,United States,27688
Fludarabine phosphate oral tablets,,12/18/07,Treatment of B-cell chronic lymphocytic leukemia,Designated/Approved,,Treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) whose disease has not responded to or has progressed during or after treatment with at least one standard alkylating-agent containing regimen, 12/18/2008 , 12/18/2015 ,,"Sanofi-Aventis U.S., Inc.",55 Corproate Drive,P. O. Box 5925,Bridgewater,New Jersey,8807,United States,250607
Flumecinol,,1/15/85,Treatment of hyperbilirubinemia in newborn infants unresponsive to phototherapy.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Farmacon, Inc.","Post House, Suite 213",1720 Post Road East,Westport,Connecticut,6880,United States,2984
flunarizine,,1/6/86,Treatment of alternating hemiplegia.,Designated,Not FDA Approved for Orphan Indication,,,,,Janssen Research Foundation,,P.O. Box 200,Titusville,New Jersey,8560,United States,9485
flunarizine,,5/12/21,Treatment of Childhood Absence Epilepsy,Designated,Not FDA Approved for Orphan Indication,,,,,Xenon Pharmaceuticals Inc.,200-3650 Gilmore Way,,Burnaby,BC,V5G 4W8,Canada,823521
flunarizine,,11/20/18,Treatment of Alternating Hemiplegia,Designated,Not FDA Approved for Orphan Indication,,,,,"Xenon Pharmaceuticals, Inc.",200-3650 Gilmore Way,,Burnaby,,,Canada,665818
flunarizine,,7/20/16,Treatment of hemiplegic migraine,Designated,Not FDA Approved for Orphan Indication,,,,,"Xenon Pharmaceuticals, Inc.",3650 Gilmore Way,,Burnaby,,,Canada,528116
flunarizine,,6/24/13,Treatment of alternating hemiplegia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Marathon Pharmaceuticals, LLC",1033 Skokie Blvd.,Suite 600,Northbrook,Illinois,60062,United States,398513
Fluocinolone,Retisert,7/31/00,Treatment uveitis involving the posterior segment of the eye.,Designated/Approved,,Treatment of chronic non-infectious uveitis affecting the posterior segment of the eye, 04/08/2005 , 04/08/2012 ,,"Bausch & Lomb Pharmaceuticals, Inc.",8500 Hidden River Parkway,,Tampa,Florida,33637,United States,132800
Fluorouracil,,10/27/89,"For use in combination with interferon alpha-2a, recombinant, for the treatment of esophageal carcinoma.",Designated,Not FDA Approved for Orphan Indication,,,,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,40589
Fluorouracil,,2/6/89,For use in combination with leucovorin for therapy of metastatic adenocarcinoma of the colon and rectum.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Lederle Laboratories,Division of American Cyanamid Company,401 N. Middletown Road,Pearl River,New York,10965,United States,32088
Fluorouracil,,6/29/00,Treatment of glioblastoma multiforme.,Designated,Not FDA Approved for Orphan Indication,,,,,Ethypharm SA,194 Bureaux de la Colline - Batiment D,,92213 Saint-Cloud Cedex,,,France,131799
Fluorouracil,,4/18/90,"For use in combination with interferon alpha-2a, recombinant, for the treatment of advanced colorectal carcinoma.",Designated,Not FDA Approved for Orphan Indication,,,,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,42289
Fluoxetine,,4/14/04,Treatment of body dysmorphic disorder in children and adolescents,Designated,Not FDA Approved for Orphan Indication,,,,,"Hollander, Eric MD",The Mount Sinai School of Medicine,One Gustave L. Levy Place,New York,New York,10029,United States,183504
Fluoxetine,,4/30/99,Treatment of autism.,Designated,Not FDA Approved for Orphan Indication,,,,,"Neuropharm, Ltd.",Felcham Park House,,Surrey,,,United Kingdom,123199
fluticasone propionate,,1/19/11,Treatment of pediatric and adult eosinophilic esophagitis,Designated,Not FDA Approved for Orphan Indication,,,,,Ellodi Pharmaceuticals,"325 Sentry Parkway, Building 5 West, Suite 200",,Blue Bell,Pennsylvania,19422,United States,319410
fluticasone propionate,,12/29/15,Treatment of eosinophilic esophagitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Banner Life Sciences, LLC",4125 Premier Drive,,High Point,North Carolina,27265,United States,499815
folate binding protein peptide: Glu-Ile-Trp-Thr-His-Ser-Tyr-Lys-Val,,6/8/16,Treatment (including prevention of recurrence) of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Galena Biopharma, Inc.",Crow Canyon Place,Suite 380,San Ramon,California,94583,United States,522416
Folate Binding Protein Peptide: Glu-Ile-Trp-Thr-Phe-Ser-Thr-Lys-Val,,6/8/16,Treatment (including prevention of recurrence) of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Galena Biopharma, Inc.",Crow Canyon Place,Suite 380,San Ramon,California,94583,United States,528616
Follistatin291-IgG2 Fc fusion protein,,7/3/18,Treatment of facioscapulohumeral muscular dystrophy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Acceleron Pharma Inc.,128 Sidney Street,,Cambridge,Massachusetts,2139,United States,573617
"Follitropin alfa, recombinant",Gonal-F,12/21/98,"For the initiation and re-initiation of spermatogenesis in adult males with reproductive failure due to hypothalamic or pituitary dysfunction, hypogonadotropic hypogonadism. AMENDED indication 6/27/00: For the induction of spermatogenesis in men with pr",Designated/Approved,,For the induction of spermatogenesis in men with primary and secondary hypogonadotropic hypogonadism in whom the cause of infertility is not due to primary testicular failure., 05/24/2000 , 05/24/2007 ,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,119398
Fomepizole,,3/2/21,Treatment of acetaminophen overdose,Designated,Not FDA Approved for Orphan Indication,,,,,Denver Health - Rocky Mountain Poison & Drug Safety,777 Bannock St. MC 0180,,Denver,Colorado,80204,United States,801320
